request_num,dns_lookup_ms,tcp_connect_ms,tls_handshake_ms,ttfb_ms,total_time_ms,http_code
1,.023000,29.084000,0,57.467000,57.584000,200
2,.021000,28.978000,0,57.510000,57.634000,200
3,.037000,28.824000,0,56.549000,56.651000,200
4,.033000,29.088000,0,57.427000,57.658000,200
5,.042000,28.916000,0,56.892000,56.989000,200
6,.021000,28.101000,0,56.550000,56.694000,200
7,.046000,28.994000,0,57.431000,57.598000,200
8,.023000,30.292000,0,58.511000,58.686000,200
9,.021000,28.573000,0,58.425000,58.557000,200
10,.027000,31.832000,0,59.586000,59.683000,200
11,.040000,27.730000,0,55.368000,55.493000,200
12,.038000,29.730000,0,58.151000,58.307000,200
13,.019000,28.858000,0,57.542000,57.700000,200
14,.028000,28.070000,0,55.752000,55.818000,200
15,.019000,28.078000,0,55.469000,55.552000,200
16,.024000,28.851000,0,57.345000,57.492000,200
17,.023000,34.577000,0,65.944000,66.122000,200
18,.020000,28.422000,0,56.254000,56.374000,200
19,.199000,28.521000,0,56.166000,56.250000,200
20,.021000,33.610000,0,61.766000,61.906000,200
21,.028000,28.095000,0,56.218000,56.402000,200
22,.043000,28.810000,0,57.145000,57.238000,200
23,.042000,32.338000,0,61.577000,61.789000,200
24,.023000,30.228000,0,57.821000,57.939000,200
25,.039000,28.623000,0,56.628000,56.727000,200
26,.020000,31.638000,0,59.450000,59.589000,200
27,.019000,28.599000,0,56.972000,57.209000,200
28,.033000,32.395000,0,60.574000,60.766000,200
29,.037000,30.491000,0,59.443000,59.564000,200
30,.022000,33.821000,0,61.836000,61.970000,200
31,.021000,29.787000,0,57.260000,57.403000,200
32,.020000,30.315000,0,57.941000,58.013000,200
33,.037000,28.781000,0,57.851000,58.060000,200
34,.042000,28.563000,0,56.494000,56.612000,200
35,.044000,28.695000,0,56.824000,56.968000,200
36,.023000,28.600000,0,56.329000,56.428000,200
37,.036000,29.398000,0,57.573000,57.780000,200
38,.020000,31.416000,0,60.009000,60.103000,200
39,.034000,28.751000,0,56.393000,56.589000,200
40,.020000,28.241000,0,55.977000,56.072000,200
41,.023000,30.437000,0,58.266000,58.477000,200
42,.039000,28.384000,0,56.051000,56.151000,200
43,.019000,28.187000,0,55.810000,55.896000,200
44,.020000,29.886000,0,57.852000,58.092000,200
45,.072000,28.718000,0,56.632000,56.745000,200
46,.027000,28.038000,0,55.472000,55.543000,200
47,.020000,28.104000,0,55.851000,55.950000,200
48,.022000,31.653000,0,62.597000,62.744000,200
49,.020000,28.408000,0,56.127000,56.224000,200
50,.020000,29.417000,0,58.199000,58.453000,200
51,.038000,28.325000,0,55.928000,56.036000,200
52,.061000,30.408000,0,57.956000,58.104000,200
53,.020000,28.668000,0,56.709000,56.772000,200
54,.022000,28.163000,0,55.908000,56.041000,200
55,.019000,27.995000,0,56.042000,56.141000,200
56,.020000,30.852000,0,59.017000,59.162000,200
57,.023000,28.974000,0,56.746000,56.841000,200
58,.022000,28.621000,0,56.805000,56.957000,200
59,.021000,28.151000,0,56.368000,56.508000,200
60,.020000,28.630000,0,56.355000,56.458000,200
61,.039000,31.290000,0,59.788000,59.938000,200
62,.063000,34.238000,0,62.944000,63.098000,200
63,.050000,29.598000,0,58.053000,58.202000,200
64,.050000,29.174000,0,57.031000,57.135000,200
65,.022000,33.510000,0,61.975000,62.120000,200
66,.054000,35.107000,0,62.973000,63.113000,200
67,.021000,28.582000,0,57.085000,57.246000,200
68,.032000,30.879000,0,59.319000,59.435000,200
69,.020000,29.042000,0,56.778000,56.874000,200
70,.021000,28.152000,0,57.555000,57.740000,200
71,.023000,41.665000,0,71.464000,71.574000,200
72,.021000,28.584000,0,57.808000,57.881000,200
73,.020000,28.692000,0,56.514000,56.597000,200
74,.019000,28.774000,0,57.097000,57.186000,200
75,.037000,28.624000,0,56.998000,57.146000,200
76,.040000,30.416000,0,60.316000,60.455000,200
77,.020000,28.817000,0,57.062000,57.268000,200
78,.047000,28.172000,0,56.785000,56.877000,200
79,.021000,29.380000,0,57.350000,57.596000,200
80,.025000,1039.512000,0,1067.132000,1067.202000,200
81,.022000,29.777000,0,57.916000,58.036000,200
82,.020000,28.415000,0,57.627000,57.727000,200
83,.028000,28.521000,0,56.277000,56.384000,200
84,.025000,28.566000,0,56.683000,56.780000,200
85,.044000,27.670000,0,55.405000,55.512000,200
86,.022000,28.075000,0,55.755000,55.843000,200
87,.023000,28.740000,0,56.647000,56.738000,200
88,.022000,34.559000,0,62.704000,62.898000,200
89,.023000,29.013000,0,56.976000,57.074000,200
90,.189000,29.257000,0,58.206000,58.436000,200
91,.024000,29.584000,0,57.180000,57.295000,200
92,.033000,28.121000,0,56.198000,56.319000,200
93,.023000,28.756000,0,56.668000,56.786000,200
94,.021000,28.307000,0,59.073000,59.191000,200
95,.023000,31.180000,0,59.327000,59.464000,200
96,.099000,33.870000,0,63.501000,63.762000,200
97,.026000,30.143000,0,58.685000,59.127000,200
98,.026000,28.384000,0,56.496000,56.640000,200
99,.023000,28.389000,0,56.337000,56.479000,200
100,.020000,29.027000,0,59.186000,59.324000,200
